Upload Image,Confidence threshold,IoU threshold,Result,timestamp
.gradio\flagged\Upload Image\ebb8f838711d02be8ea8\preview_frame_00001.jpg,0.25,0.45,,2026-03-30 00:03:50.706114
.gradio\flagged\Upload Image\293a6d798cd4b49eee23\preview_frame_00026.jpg,0.66,0.84,.gradio\flagged\Result\a871428fca51a60d3e3f\image.webp,2026-04-01 23:29:43.010275
