epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2529.51,1.09112,2.52082,0.54183,0.72555,1.16264,0.98504,0.90175,0.95823,0.72663,0.99808,0.84932,0.87544,0.58892,1.02371,2.16057,0.33189,0.54029,1.1109,0.0007426,0.0007426,0.0007426
28,2619.46,1.23787,3.03844,0.53735,0.9001,1.26628,1,0.8746,0.95037,0.62951,1,0.86122,0.88093,0.57924,1.37932,2.10452,0.33412,0.66946,1.2863,0.0007327,0.0007327,0.0007327
29,2709.77,1.04295,2.2817,0.53786,0.70089,1.12977,0.94386,0.89041,0.96229,0.73911,0.99708,0.84932,0.89763,0.63841,0.9691,2.0579,0.34325,0.5834,1.08473,0.0007228,0.0007228,0.0007228
30,2800.57,1.09479,2.30029,0.54575,0.70123,1.13057,0.95728,0.92081,0.96496,0.72094,0.99354,0.83562,0.88413,0.58353,0.99786,2.07344,0.33902,0.573,1.1091,0.0007129,0.0007129,0.0007129
31,2891.04,1.02641,2.32791,0.55408,0.68474,1.11785,0.98457,0.87429,0.96582,0.7107,0.98023,0.84932,0.89053,0.66221,1.08163,2.1774,0.34249,0.60302,1.15454,0.000703,0.000703,0.000703
32,2981.74,1.09878,2.28588,0.53855,0.69219,1.12291,0.98502,0.90055,0.96967,0.72496,0.9697,0.87668,0.8947,0.6606,1.03191,2.07299,0.33927,0.59542,1.13555,0.0006931,0.0006931,0.0006931
33,3071.97,1.01613,2.00346,0.51206,0.66482,1.11888,0.97047,0.90051,0.97257,0.73361,0.96479,0.87671,0.90644,0.66569,1.02822,1.99959,0.33854,0.56281,1.12504,0.0006832,0.0006832,0.0006832
34,3162.67,1.02172,1.94552,0.49781,0.65113,1.09456,0.98536,0.92224,0.97773,0.73416,0.98468,0.88043,0.91469,0.69438,1.08724,1.95766,0.33906,0.55629,1.14476,0.0006733,0.0006733,0.0006733
35,3253.34,1.0072,2.17241,0.52548,0.68857,1.12525,0.98537,0.9589,0.97645,0.75092,0.98405,0.84515,0.89058,0.65286,0.95209,2.02013,0.34261,0.5346,1.10406,0.0006634,0.0006634,0.0006634
36,3343.55,1.03118,2.3333,0.52297,0.69283,1.14362,0.9857,0.94452,0.98365,0.68253,0.98482,0.88893,0.9289,0.65944,1.21859,1.98303,0.33878,0.58979,1.21215,0.0006535,0.0006535,0.0006535
